measure,location,sex,age,cause,metric,year,val,upper,lower,,,,
Incidence,Singapore,Female,Under 5,"Tracheal, bronchus, and lung cancer",Number,2014,0,0,0,,,,
Incidence,Singapore,Female,Early Neonatal,"Tracheal, bronchus, and lung cancer",Number,2014,0,0,0,,,,
Incidence,Singapore,Female,Late Neonatal,"Tracheal, bronchus, and lung cancer",Number,2014,0,0,0,,,,
Incidence,Singapore,Female,Post Neonatal,"Tracheal, bronchus, and lung cancer",Number,2014,0,0,0,,,,
Incidence,Singapore,Female,1 to 4,"Tracheal, bronchus, and lung cancer",Number,2014,0,0,0,,,,
Incidence,Singapore,Female,5 to 9,"Tracheal, bronchus, and lung cancer",Number,2014,0,0,0,,,,
Incidence,Singapore,Female,10 to 14,"Tracheal, bronchus, and lung cancer",Number,2014,0,0,0,,,,
Incidence,Singapore,Female,15 to 19,"Tracheal, bronchus, and lung cancer",Number,2014,0.160027871,0.283822979,0.089903187,,,,
Incidence,Singapore,Female,20 to 24,"Tracheal, bronchus, and lung cancer",Number,2014,0.917937014,1.64664924,0.515669487,,,,
Incidence,Singapore,Female,25 to 29,"Tracheal, bronchus, and lung cancer",Number,2014,2.400091925,3.944660077,1.402036633,,,,
Incidence,Singapore,Female,30 to 34,"Tracheal, bronchus, and lung cancer",Number,2014,5.218992999,7.896532298,3.255976424,,,,
Incidence,Singapore,Female,35 to 39,"Tracheal, bronchus, and lung cancer",Number,2014,9.220569328,12.79631751,6.305727142,,,,
Incidence,Singapore,Female,40 to 44,"Tracheal, bronchus, and lung cancer",Number,2014,11.73120321,15.44974136,8.283695851,,,,
Incidence,Singapore,Female,45 to 49,"Tracheal, bronchus, and lung cancer",Number,2014,27.51539575,33.85243894,20.2405772,,,,
Incidence,Singapore,Female,50 to 54,"Tracheal, bronchus, and lung cancer",Number,2014,34.1430007,42.27017342,25.94474275,,,,
Incidence,Singapore,Female,55 to 59,"Tracheal, bronchus, and lung cancer",Number,2014,49.74540106,59.68645133,37.9536239,,,,
Incidence,Singapore,Female,60 to 64,"Tracheal, bronchus, and lung cancer",Number,2014,58.81868232,68.74659242,45.60597611,,,,
Incidence,Singapore,Female,65 to 69,"Tracheal, bronchus, and lung cancer",Number,2014,58.85109433,70.19607305,45.38828817,,,,
Incidence,Singapore,Female,70 to 74,"Tracheal, bronchus, and lung cancer",Number,2014,51.03131308,59.24060292,39.36264766,,,,
Incidence,Singapore,Female,75 to 79,"Tracheal, bronchus, and lung cancer",Number,2014,50.93758205,60.84841007,39.24340521,,,,
Incidence,Singapore,Female,80 plus,"Tracheal, bronchus, and lung cancer",Number,2014,126.1364969,146.8130597,98.59204988,,,,
Incidence,Singapore,Female,All Ages,"Tracheal, bronchus, and lung cancer",Number,2014,486.8277885,525.6872159,445.8573955,,,,
Incidence,Singapore,Female,5-14 years,"Tracheal, bronchus, and lung cancer",Number,2014,0,0,0,,,,
Incidence,Singapore,Female,15-49 years,"Tracheal, bronchus, and lung cancer",Number,2014,57.16421809,67.58645194,46.22883497,,,,
Incidence,Singapore,Female,50-69 years,"Tracheal, bronchus, and lung cancer",Number,2014,201.5581784,223.6262824,177.1347835,,,,
Incidence,Singapore,Female,70+ years,"Tracheal, bronchus, and lung cancer",Number,2014,228.105392,254.6132567,195.7379938,,,,
Incidence,Singapore,Female,<1 year,"Tracheal, bronchus, and lung cancer",Number,2014,0,0,0,,,,
Incidence,Singapore,Female,80 to 84,"Tracheal, bronchus, and lung cancer",Number,2014,56.85305961,68.41753043,43.90325376,,,,
Incidence,Singapore,Female,85 to 89,"Tracheal, bronchus, and lung cancer",Number,2014,41.41737971,50.69997211,31.86298996,,,,
Incidence,Singapore,Female,90 to 94,"Tracheal, bronchus, and lung cancer",Number,2014,21.24011411,26.36504078,15.93415323,,,,
Incidence,Singapore,Female,<20 years,"Tracheal, bronchus, and lung cancer",Number,2014,0.160027871,0.283822979,0.089903187,,,,
Incidence,Singapore,Female,10 to 24,"Tracheal, bronchus, and lung cancer",Number,2014,1.077964885,1.893363801,0.62368519,,,,
Incidence,Singapore,Female,95 plus,"Tracheal, bronchus, and lung cancer",Number,2014,6.625943421,8.59092541,4.886836571,,,,
Incidence,Singapore,Female,<70 years,"Tracheal, bronchus, and lung cancer",Number,2014,258.7223965,283.7122269,232.3373279,,,,
Incidence,Singapore,Female,Under 5,Breast cancer,Number,2014,0,0,0,,,,
Incidence,Singapore,Female,Early Neonatal,Breast cancer,Number,2014,0,0,0,,,,
Incidence,Singapore,Female,Late Neonatal,Breast cancer,Number,2014,0,0,0,,,,
Incidence,Singapore,Female,Post Neonatal,Breast cancer,Number,2014,0,0,0,,,,
Incidence,Singapore,Female,1 to 4,Breast cancer,Number,2014,0,0,0,,,,
Incidence,Singapore,Female,5 to 9,Breast cancer,Number,2014,0,0,0,,,,
Incidence,Singapore,Female,10 to 14,Breast cancer,Number,2014,0,0,0,,,,
Incidence,Singapore,Female,15 to 19,Breast cancer,Number,2014,0.262426443,0.360597412,0.194228206,,,,
Incidence,Singapore,Female,20 to 24,Breast cancer,Number,2014,3.696476247,5.287737355,2.443495142,,,,
Incidence,Singapore,Female,25 to 29,Breast cancer,Number,2014,27.21204032,38.15374185,18.4972977,,,,
Incidence,Singapore,Female,30 to 34,Breast cancer,Number,2014,75.63099602,99.7368735,56.84163473,,,,
Incidence,Singapore,Female,35 to 39,Breast cancer,Number,2014,133.6526896,171.7344376,100.9862283,,,,
Incidence,Singapore,Female,40 to 44,Breast cancer,Number,2014,205.0846585,259.3665772,157.988142,,,,
Incidence,Singapore,Female,45 to 49,Breast cancer,Number,2014,271.160785,342.8891778,211.0852574,,,,
Incidence,Singapore,Female,50 to 54,Breast cancer,Number,2014,265.5415183,335.3630842,209.5195052,,,,
Incidence,Singapore,Female,55 to 59,Breast cancer,Number,2014,284.1296164,353.7035812,224.0428885,,,,
Incidence,Singapore,Female,60 to 64,Breast cancer,Number,2014,239.5785613,298.2441699,190.5826918,,,,
Incidence,Singapore,Female,65 to 69,Breast cancer,Number,2014,167.1622969,210.8571943,132.3053497,,,,
Incidence,Singapore,Female,70 to 74,Breast cancer,Number,2014,113.5907523,145.3856277,90.2051986,,,,
Incidence,Singapore,Female,75 to 79,Breast cancer,Number,2014,79.08644069,100.5173367,62.54902369,,,,
Incidence,Singapore,Female,80 plus,Breast cancer,Number,2014,126.7976554,153.0483292,104.8665258,,,,
Incidence,Singapore,Female,All Ages,Breast cancer,Number,2014,1992.586913,2160.75505,1826.906968,,,,
Incidence,Singapore,Female,5-14 years,Breast cancer,Number,2014,0,0,0,,,,
Incidence,Singapore,Female,15-49 years,Breast cancer,Number,2014,716.7000721,819.6813736,624.6021943,,,,
Incidence,Singapore,Female,50-69 years,Breast cancer,Number,2014,956.4119929,1079.271111,848.8414551,,,,
Incidence,Singapore,Female,70+ years,Breast cancer,Number,2014,319.4748484,366.8259148,280.5583703,,,,
Incidence,Singapore,Female,<1 year,Breast cancer,Number,2014,0,0,0,,,,
Incidence,Singapore,Female,80 to 84,Breast cancer,Number,2014,52.38680212,65.279437,41.71549056,,,,
Incidence,Singapore,Female,85 to 89,Breast cancer,Number,2014,40.16657993,50.67134989,31.26992099,,,,
Incidence,Singapore,Female,90 to 94,Breast cancer,Number,2014,24.0529039,31.0549269,18.58172117,,,,
Incidence,Singapore,Female,<20 years,Breast cancer,Number,2014,0.262426443,0.360597412,0.194228206,,,,
Incidence,Singapore,Female,10 to 24,Breast cancer,Number,2014,3.95890269,5.571549723,2.676170515,,,,
Incidence,Singapore,Female,95 plus,Breast cancer,Number,2014,10.19136947,13.18236591,7.598923873,,,,
Incidence,Singapore,Female,<70 years,Breast cancer,Number,2014,1673.112065,1832.227096,1523.357059,,,,
Incidence,Singapore,Female,Under 5,Cervical cancer,Number,2014,0,0,0,,,,
Incidence,Singapore,Female,Early Neonatal,Cervical cancer,Number,2014,0,0,0,,,,
Incidence,Singapore,Female,Late Neonatal,Cervical cancer,Number,2014,0,0,0,,,,
Incidence,Singapore,Female,Post Neonatal,Cervical cancer,Number,2014,0,0,0,,,,
Incidence,Singapore,Female,1 to 4,Cervical cancer,Number,2014,0,0,0,,,,
Incidence,Singapore,Female,5 to 9,Cervical cancer,Number,2014,0,0,0,,,,
Incidence,Singapore,Female,10 to 14,Cervical cancer,Number,2014,0,0,0,,,,
Incidence,Singapore,Female,15 to 19,Cervical cancer,Number,2014,0.365435138,0.56144552,0.225107426,,,,
Incidence,Singapore,Female,20 to 24,Cervical cancer,Number,2014,2.372651189,3.922482848,1.396197537,,,,
Incidence,Singapore,Female,25 to 29,Cervical cancer,Number,2014,11.11402389,18.37049088,6.58593013,,,,
Incidence,Singapore,Female,30 to 34,Cervical cancer,Number,2014,26.7001958,41.78640816,16.30039154,,,,
Incidence,Singapore,Female,35 to 39,Cervical cancer,Number,2014,32.70094182,49.74685577,20.32237938,,,,
Incidence,Singapore,Female,40 to 44,Cervical cancer,Number,2014,31.49821907,46.86177083,21.21808862,,,,
Incidence,Singapore,Female,45 to 49,Cervical cancer,Number,2014,30.42731208,43.47631998,20.67597301,,,,
Incidence,Singapore,Female,50 to 54,Cervical cancer,Number,2014,28.93768588,39.24376069,20.73083105,,,,
Incidence,Singapore,Female,55 to 59,Cervical cancer,Number,2014,28.65995685,39.54928599,20.54971796,,,,
Incidence,Singapore,Female,60 to 64,Cervical cancer,Number,2014,21.95612888,29.80501746,16.0826679,,,,
Incidence,Singapore,Female,65 to 69,Cervical cancer,Number,2014,17.46330439,23.51349763,12.96205027,,,,
Incidence,Singapore,Female,70 to 74,Cervical cancer,Number,2014,11.37388861,14.82774217,8.436844432,,,,
Incidence,Singapore,Female,75 to 79,Cervical cancer,Number,2014,9.246761764,12.03843668,6.975160285,,,,
Incidence,Singapore,Female,80 plus,Cervical cancer,Number,2014,11.95929343,13.77631468,10.27768924,,,,
Incidence,Singapore,Female,All Ages,Cervical cancer,Number,2014,264.7757988,299.2557501,234.1725292,,,,
Incidence,Singapore,Female,5-14 years,Cervical cancer,Number,2014,0,0,0,,,,
Incidence,Singapore,Female,15-49 years,Cervical cancer,Number,2014,135.178779,166.0189152,110.0071653,,,,
Incidence,Singapore,Female,50-69 years,Cervical cancer,Number,2014,97.01707599,113.7828297,81.80041045,,,,
Incidence,Singapore,Female,70+ years,Cervical cancer,Number,2014,32.5799438,37.06489863,28.50765268,,,,
Incidence,Singapore,Female,<1 year,Cervical cancer,Number,2014,0,0,0,,,,
Incidence,Singapore,Female,80 to 84,Cervical cancer,Number,2014,5.039465426,6.10971351,4.073158475,,,,
Incidence,Singapore,Female,85 to 89,Cervical cancer,Number,2014,4.007515818,5.005704723,3.086183224,,,,
Incidence,Singapore,Female,90 to 94,Cervical cancer,Number,2014,2.085659232,2.653320432,1.619154329,,,,
Incidence,Singapore,Female,<20 years,Cervical cancer,Number,2014,0.365435138,0.56144552,0.225107426,,,,
Incidence,Singapore,Female,10 to 24,Cervical cancer,Number,2014,2.738086327,4.470741723,1.656382591,,,,
Incidence,Singapore,Female,95 plus,Cervical cancer,Number,2014,0.826652954,1.08257384,0.629725081,,,,
Incidence,Singapore,Female,<70 years,Cervical cancer,Number,2014,232.195855,265.4862853,202.477619,,,,
Incidence,Singapore,Female,Under 5,Colon and rectum cancer,Number,2014,0,0,0,,,,
Incidence,Singapore,Female,Early Neonatal,Colon and rectum cancer,Number,2014,0,0,0,,,,
Incidence,Singapore,Female,Late Neonatal,Colon and rectum cancer,Number,2014,0,0,0,,,,
Incidence,Singapore,Female,Post Neonatal,Colon and rectum cancer,Number,2014,0,0,0,,,,
