measure,location,sex,age,cause,metric,year,val,upper,lower,,,,,
Deaths,Global,Both,15 to 19,"Tracheal, bronchus, and lung cancer",Number,2013,779.9956582,822.8788198,740.2046503,,,,,
Deaths,Global,Both,15 to 19,"Tracheal, bronchus, and lung cancer",Percent,2013,0.001383782,0.001461596,0.001315879,,,,,
Deaths,Global,Both,15 to 19,"Tracheal, bronchus, and lung cancer",Rate,2013,0.127622226,0.134638732,0.121111655,,,,,
Deaths,Global,Both,20 to 24,"Tracheal, bronchus, and lung cancer",Number,2013,1467.909774,1545.301079,1399.289586,,,,,
Deaths,Global,Both,20 to 24,"Tracheal, bronchus, and lung cancer",Percent,2013,0.001908132,0.002002891,0.001817582,,,,,
Deaths,Global,Both,20 to 24,"Tracheal, bronchus, and lung cancer",Rate,2013,0.237462156,0.249981663,0.226361544,,,,,
Deaths,Global,Both,25 to 29,"Tracheal, bronchus, and lung cancer",Number,2013,2994.006691,3130.767264,2866.27871,,,,,
Deaths,Global,Both,25 to 29,"Tracheal, bronchus, and lung cancer",Percent,2013,0.00330267,0.003463978,0.003151506,,,,,
Deaths,Global,Both,25 to 29,"Tracheal, bronchus, and lung cancer",Rate,2013,0.498641124,0.521418109,0.477368485,,,,,
Deaths,Global,Both,30 to 34,"Tracheal, bronchus, and lung cancer",Number,2013,5519.804567,5707.995144,5352.674493,,,,,
Deaths,Global,Both,30 to 34,"Tracheal, bronchus, and lung cancer",Percent,2013,0.005269676,0.005473186,0.005106684,,,,,
Deaths,Global,Both,30 to 34,"Tracheal, bronchus, and lung cancer",Rate,2013,1.027965756,1.063012915,0.996840742,,,,,
Deaths,Global,Both,35 to 39,"Tracheal, bronchus, and lung cancer",Number,2013,10927.23678,11292.54801,10617.88507,,,,,
Deaths,Global,Both,35 to 39,"Tracheal, bronchus, and lung cancer",Percent,2013,0.008961692,0.009297773,0.008678505,,,,,
Deaths,Global,Both,35 to 39,"Tracheal, bronchus, and lung cancer",Rate,2013,2.165273177,2.237660975,2.103973969,,,,,
Deaths,Global,Both,40 to 44,"Tracheal, bronchus, and lung cancer",Number,2013,25800.07503,26599.87931,25169.30091,,,,,
Deaths,Global,Both,40 to 44,"Tracheal, bronchus, and lung cancer",Percent,2013,0.017167035,0.017671235,0.016746948,,,,,
Deaths,Global,Both,40 to 44,"Tracheal, bronchus, and lung cancer",Rate,2013,5.299276948,5.463554935,5.169717374,,,,,
Deaths,Global,Both,45 to 49,"Tracheal, bronchus, and lung cancer",Number,2013,59918.26492,61555.34148,58574.06697,,,,,
Deaths,Global,Both,45 to 49,"Tracheal, bronchus, and lung cancer",Percent,2013,0.030888013,0.031660307,0.030199361,,,,,
Deaths,Global,Both,45 to 49,"Tracheal, bronchus, and lung cancer",Rate,2013,13.40385105,13.77006877,13.10315093,,,,,
Deaths,Global,Both,50 to 54,"Tracheal, bronchus, and lung cancer",Number,2013,100908.0942,102961.2756,99066.80918,,,,,
Deaths,Global,Both,50 to 54,"Tracheal, bronchus, and lung cancer",Percent,2013,0.042170015,0.042975362,0.041460936,,,,,
Deaths,Global,Both,50 to 54,"Tracheal, bronchus, and lung cancer",Rate,2013,27.01293378,27.56256712,26.52002476,,,,,
Deaths,Global,Both,55 to 59,"Tracheal, bronchus, and lung cancer",Number,2013,160911.1245,163603.8381,158160.9294,,,,,
